id,materialId,judulMateri,mode,indicator,difficulty,difficultyLabel,questionType,question,optA,optB,optC,optD,optE,correct,hint1,hint2,hint3,explanation,remedialMaterialId
M1A-F04-MD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Sebuah barang seharga Rp95.000 mendapat diskon 20%. Harga setelah diskon adalah ....,Rp76.000,Rp19.000,Rp85.500,Rp95.000,Rp71.250,A,Cari dahulu besar diskon 20% dari Rp95.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp95.000.",,Diskon = 20% × Rp95.000 = Rp19.000. Harga akhir = Rp95.000 − Rp19.000 = Rp76.000.,R1
M1A-F04-MD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Sebuah barang seharga Rp60.000 mendapat diskon 15%. Harga setelah diskon adalah ....,Rp60.000,Rp9.000,Rp55.500,Rp51.000,Rp48.000,D,Cari dahulu besar diskon 15% dari Rp60.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp60.000.",,Diskon = 15% × Rp60.000 = Rp9.000. Harga akhir = Rp60.000 − Rp9.000 = Rp51.000.,R1
M1A-F04-MD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Sebuah barang seharga Rp40.000 mendapat diskon 25%. Harga setelah diskon adalah ....,Rp35.000,Rp28.000,Rp40.000,Rp10.000,Rp30.000,E,Cari dahulu besar diskon 25% dari Rp40.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp40.000.",,Diskon = 25% × Rp40.000 = Rp10.000. Harga akhir = Rp40.000 − Rp10.000 = Rp30.000.,R1
M1A-F05-MD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Harga akhir sebuah barang setelah diskon 10% adalah Rp90.000. Harga awal barang tersebut adalah ....,Rp100.000,Rp109.000,Rp90.000,Rp50.000,Rp99.000,A,"Jika diskon 10%, harga akhir adalah 90% dari harga awal.",Gunakan harga awal = Rp90.000 ÷ 90%.,,Rp90.000 adalah 90% dari harga awal. Harga awal = Rp90.000 ÷ 0.9 = Rp100.000.,R1
M1A-F05-MD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Harga akhir sebuah barang setelah diskon 20% adalah Rp160.000. Harga awal barang tersebut adalah ....,Rp232.000,Rp160.000,Rp180.000,Rp192.000,Rp200.000,E,"Jika diskon 20%, harga akhir adalah 80% dari harga awal.",Gunakan harga awal = Rp160.000 ÷ 80%.,,Rp160.000 adalah 80% dari harga awal. Harga awal = Rp160.000 ÷ 0.8 = Rp200.000.,R1
M1A-F05-MD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Harga akhir sebuah barang setelah diskon 25% adalah Rp75.000. Harga awal barang tersebut adalah ....,Rp90.000,Rp118.750,Rp75.000,Rp100.000,Rp93.750,D,"Jika diskon 25%, harga akhir adalah 75% dari harga awal.",Gunakan harga awal = Rp75.000 ÷ 75%.,,Rp75.000 adalah 75% dari harga awal. Harga awal = Rp75.000 ÷ 0.75 = Rp100.000.,R1
M1A-F06-MD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I3,1,Mudah,PG,Toko A menjual barang seharga Rp100.000 diskon 10%. Toko B menjual barang yang sama seharga Rp95.000 diskon 0%. Kesimpulan yang tepat adalah ....,Toko A lebih hemat Rp5.000,Toko B lebih hemat Rp5.000,Tidak dapat ditentukan,Keduanya sama,Toko A lebih hemat Rp10.000,A,"Hitung harga akhir masing-masing toko, jangan hanya melihat persen diskon.","Toko A = 90% × Rp100.000, Toko B = 100% × Rp95.000.",,Toko A = Rp90.000 dan Toko B = Rp95.000. Maka toko a lebih hemat rp5.000.,M1A/R1
M1A-F06-MD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I3,1,Mudah,PG,Toko A menjual barang seharga Rp200.000 diskon 20%. Toko B menjual barang yang sama seharga Rp180.000 diskon 10%. Kesimpulan yang tepat adalah ....,Tidak dapat ditentukan,Keduanya sama,Toko B lebih hemat Rp2.000,Toko A lebih hemat Rp2.000,Toko B lebih hemat Rp20.000,D,"Hitung harga akhir masing-masing toko, jangan hanya melihat persen diskon.","Toko A = 80% × Rp200.000, Toko B = 90% × Rp180.000.",,Toko A = Rp160.000 dan Toko B = Rp162.000. Maka toko a lebih hemat rp2.000.,M1A/R1
M1A-F06-MD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I3,1,Mudah,PG,Toko A menjual barang seharga Rp80.000 diskon 25%. Toko B menjual barang yang sama seharga Rp70.000 diskon 10%. Kesimpulan yang tepat adalah ....,Tidak dapat ditentukan,Toko B lebih hemat Rp3.000,Toko A lebih hemat Rp3.000,Keduanya sama,Toko B lebih hemat Rp10.000,C,"Hitung harga akhir masing-masing toko, jangan hanya melihat persen diskon.","Toko A = 75% × Rp80.000, Toko B = 90% × Rp70.000.",,Toko A = Rp60.000 dan Toko B = Rp63.000. Maka toko a lebih hemat rp3.000.,M1A/R1
M1A-F07-MD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Sebuah barang seharga Rp100.000 mendapat diskon bertingkat 10% lalu 10%. Harga akhirnya adalah ....,Rp19.000,Rp80.000,Rp90.000,Rp81.000,Rp95.000,D,"Diskon kedua dihitung dari harga setelah diskon pertama, bukan dari harga awal.","Hitung dulu 10% dari Rp100.000, lalu hitung 10% dari harga baru.",,Setelah diskon pertama: Rp90.000. Setelah diskon kedua: Rp81.000.,M1A/R1
M1A-F07-MD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Sebuah barang seharga Rp200.000 mendapat diskon bertingkat 20% lalu 10%. Harga akhirnya adalah ....,Rp140.000,Rp56.000,Rp144.000,Rp160.000,Rp180.000,C,"Diskon kedua dihitung dari harga setelah diskon pertama, bukan dari harga awal.","Hitung dulu 20% dari Rp200.000, lalu hitung 10% dari harga baru.",,Setelah diskon pertama: Rp160.000. Setelah diskon kedua: Rp144.000.,M1A/R1
M1A-F07-MD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Sebuah barang seharga Rp150.000 mendapat diskon bertingkat 30% lalu 10%. Harga akhirnya adalah ....,Rp55.500,Rp90.000,Rp105.000,Rp94.500,Rp135.000,D,"Diskon kedua dihitung dari harga setelah diskon pertama, bukan dari harga awal.","Hitung dulu 30% dari Rp150.000, lalu hitung 10% dari harga baru.",,Setelah diskon pertama: Rp105.000. Setelah diskon kedua: Rp94.500.,M1A/R1
M1A-F08-MD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Dela membeli kaos seharga Rp120.000 dengan diskon 25%. Harga yang harus dibayar Dela adalah ....,Rp30.000,Rp95.000,Rp84.000,Rp120.000,Rp90.000,E,Harga akhir = harga awal - diskon.,Diskon 25% dari Rp120.000 adalah Rp30.000.,,Diskon = Rp30.000. Harga akhir = Rp90.000.,R1
M1A-F08-MD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Sebuah tempat pensil seharga Rp90.000 mendapat diskon 10%. Harga akhirnya adalah ....,Rp89.000,Rp9.000,Rp81.000,Rp80.000,Rp76.500,C,Diskon 10% adalah potongan dari harga awal.,Hitung Rp90.000 - 10% × Rp90.000.,,Harga akhir = Rp90.000 - Rp9.000 = Rp81.000.,R1
M1A-F08-MD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I1,1,Mudah,PG,Harga akhir sebuah barang setelah diskon 20% adalah Rp64.000. Harga awal barang tersebut adalah ....,Rp76.800,Rp75.000,Rp70.000,Rp84.000,Rp80.000,E,"Setelah diskon 20%, harga akhir adalah 80% dari harga awal.","Hitung Rp64.000 ÷ 0,80.",,"Harga awal = Rp64.000 ÷ 0,80 = Rp80.000.",R1
M1A-PRE-MD-V03,M1A,Diskon dan Harga Akhir,PRETEST,I3,1,Mudah,PG,Toko A menjual barang seharga Rp80.000 diskon 25%. Toko B menjual barang yang sama seharga Rp70.000 diskon 10%. Kesimpulan yang tepat adalah ....,Tidak dapat ditentukan,Toko B lebih hemat Rp3.000,Toko A lebih hemat Rp3.000,Keduanya sama,Toko B lebih hemat Rp10.000,C,,,,Toko A = Rp60.000 dan Toko B = Rp63.000. Maka toko a lebih hemat rp3.000.,M1A/R1
M1A-POST-SD-V01,M1A,Diskon dan Harga Akhir,POSTTEST,I2,2,Sedang,PG,Sebuah barang seharga Rp220.000 mendapat diskon 15%. Besar diskon barang tersebut adalah ....,Rp220.000,Rp187.000,Rp16.500,Rp33.000,Rp44.000,D,,,,Besar diskon = 15% × Rp220.000 = Rp33.000.,R1
M1A-F01-SD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I2,2,Sedang,PG,Sebuah barang seharga Rp200.000 mendapat diskon 15%. Besar diskon barang tersebut adalah ....,Rp170.000,Rp30.000,Rp200.000,Rp15.000,Rp40.000,B,Diskon 15% dihitung dari harga awal Rp200.000.,Kalikan 15% dengan Rp200.000 untuk memperoleh besar potongan.,,Besar diskon = 15% × Rp200.000 = Rp30.000.,R1
M1A-F01-SD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I2,2,Sedang,PG,"Sebuah barang seharga Rp160.000 mendapat diskon 12,5%. Besar diskon barang tersebut adalah ....",Rp140.000,Rp28.000,Rp10.000,Rp160.000,Rp20.000,E,"Diskon 12,5% dihitung dari harga awal Rp160.000.","Kalikan 12,5% dengan Rp160.000 untuk memperoleh besar potongan.",,"Besar diskon = 12,5% × Rp160.000 = Rp20.000.",R1
M1A-F01-SD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I2,2,Sedang,PG,Sebuah barang seharga Rp180.000 mendapat diskon 30%. Besar diskon barang tersebut adalah ....,Rp54.000,Rp180.000,Rp27.000,Rp126.000,Rp63.000,A,Diskon 30% dihitung dari harga awal Rp180.000.,Kalikan 30% dengan Rp180.000 untuk memperoleh besar potongan.,,Besar diskon = 30% × Rp180.000 = Rp54.000.,R1
M1A-F02-SD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I2,2,Sedang,PG,Sebuah barang seharga Rp220.000 mendapat diskon 15%. Besar diskon barang tersebut adalah ....,Rp220.000,Rp187.000,Rp16.500,Rp33.000,Rp44.000,D,Diskon 15% dihitung dari harga awal Rp220.000.,Kalikan 15% dengan Rp220.000 untuk memperoleh besar potongan.,,Besar diskon = 15% × Rp220.000 = Rp33.000.,R1
M1A-F02-SD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I2,2,Sedang,PG,Sebuah barang seharga Rp150.000 mendapat diskon 12%. Besar diskon barang tersebut adalah ....,Rp18.000,Rp9.000,Rp132.000,Rp150.000,Rp25.500,A,Diskon 12% dihitung dari harga awal Rp150.000.,Kalikan 12% dengan Rp150.000 untuk memperoleh besar potongan.,,Besar diskon = 12% × Rp150.000 = Rp18.000.,R1
M1A-F02-SD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I2,2,Sedang,PG,Sebuah barang seharga Rp80.000 mendapat diskon 35%. Besar diskon barang tersebut adalah ....,Rp52.000,Rp14.000,Rp32.000,Rp80.000,Rp28.000,E,Diskon 35% dihitung dari harga awal Rp80.000.,Kalikan 35% dengan Rp80.000 untuk memperoleh besar potongan.,,Besar diskon = 35% × Rp80.000 = Rp28.000.,R1
M1A-F03-SD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,Sebuah barang seharga Rp175.000 mendapat diskon 12%. Harga setelah diskon adalah ....,Rp164.500,Rp175.000,Rp21.000,Rp154.000,Rp145.250,D,Cari dahulu besar diskon 12% dari Rp175.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp175.000.",,Diskon = 12% × Rp175.000 = Rp21.000. Harga akhir = Rp175.000 − Rp21.000 = Rp154.000.,R1
M1A-F03-SD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,Sebuah barang seharga Rp240.000 mendapat diskon 35%. Harga setelah diskon adalah ....,Rp156.000,Rp198.000,Rp84.000,Rp240.000,Rp144.000,A,Cari dahulu besar diskon 35% dari Rp240.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp240.000.",,Diskon = 35% × Rp240.000 = Rp84.000. Harga akhir = Rp240.000 − Rp84.000 = Rp156.000.,R1
M1A-F03-SD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,Sebuah barang seharga Rp125.000 mendapat diskon 8%. Harga setelah diskon adalah ....,Rp115.000,Rp10.000,Rp125.000,Rp120.000,Rp108.750,A,Cari dahulu besar diskon 8% dari Rp125.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp125.000.",,Diskon = 8% × Rp125.000 = Rp10.000. Harga akhir = Rp125.000 − Rp10.000 = Rp115.000.,R1
M1A-F04-SD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,Sebuah barang seharga Rp280.000 mendapat diskon 15%. Harga setelah diskon adalah ....,Rp259.000,Rp280.000,Rp238.000,Rp42.000,Rp224.000,C,Cari dahulu besar diskon 15% dari Rp280.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp280.000.",,Diskon = 15% × Rp280.000 = Rp42.000. Harga akhir = Rp280.000 − Rp42.000 = Rp238.000.,R1
M1A-F04-SD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,"Sebuah barang seharga Rp320.000 mendapat diskon 12,5%. Harga setelah diskon adalah ....",Rp320.000,Rp300.000,Rp280.000,Rp40.000,Rp264.000,C,"Cari dahulu besar diskon 12,5% dari Rp320.000.","Setelah besar diskon diperoleh, kurangkan dari harga awal Rp320.000.",,"Diskon = 12,5% × Rp320.000 = Rp40.000. Harga akhir = Rp320.000 − Rp40.000 = Rp280.000.",R1
M1A-F04-SD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,Sebuah barang seharga Rp375.000 mendapat diskon 20%. Harga setelah diskon adalah ....,Rp75.000,Rp375.000,Rp337.500,Rp281.250,Rp300.000,E,Cari dahulu besar diskon 20% dari Rp375.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp375.000.",,Diskon = 20% × Rp375.000 = Rp75.000. Harga akhir = Rp375.000 − Rp75.000 = Rp300.000.,R1
M1A-F05-SD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,Harga akhir sebuah barang setelah diskon 20% adalah Rp144.000. Harga awal barang tersebut adalah ....,Rp208.800,Rp162.000,Rp180.000,Rp144.000,Rp172.800,C,"Jika diskon 20%, harga akhir adalah 80% dari harga awal.",Gunakan harga awal = Rp144.000 ÷ 80%.,,Rp144.000 adalah 80% dari harga awal. Harga awal = Rp144.000 ÷ 0.8 = Rp180.000.,R1
M1A-F05-SD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,Harga akhir sebuah barang setelah diskon 30% adalah Rp210.000. Harga awal barang tersebut adalah ....,Rp270.000,Rp210.000,Rp363.000,Rp273.000,Rp300.000,E,"Jika diskon 30%, harga akhir adalah 70% dari harga awal.",Gunakan harga awal = Rp210.000 ÷ 70%.,,Rp210.000 adalah 70% dari harga awal. Harga awal = Rp210.000 ÷ 0.7 = Rp300.000.,R1
M1A-F05-SD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,Harga akhir sebuah barang setelah diskon 15% adalah Rp178.500. Harga awal barang tersebut adalah ....,Rp236.775,Rp178.500,Rp189.000,Rp210.000,Rp205.275,D,"Jika diskon 15%, harga akhir adalah 85% dari harga awal.",Gunakan harga awal = Rp178.500 ÷ 85%.,,Rp178.500 adalah 85% dari harga awal. Harga awal = Rp178.500 ÷ 0.85 = Rp210.000.,R1
M1A-F06-SD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I3,2,Sedang,PG,Toko A menjual barang seharga Rp250.000 diskon 18%. Toko B menjual barang yang sama seharga Rp240.000 diskon 15%. Kesimpulan yang tepat adalah ....,Toko A lebih hemat Rp1.000,Toko B lebih hemat Rp1.000,Tidak dapat ditentukan,Keduanya sama,Toko B lebih hemat Rp10.000,B,"Hitung harga akhir masing-masing toko, jangan hanya melihat persen diskon.","Toko A = 82% × Rp250.000, Toko B = 85% × Rp240.000.",,Toko A = Rp205.000 dan Toko B = Rp204.000. Maka toko b lebih hemat rp1.000.,M1A/R1
M1A-F06-SD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I3,2,Sedang,PG,Toko A menjual barang seharga Rp300.000 diskon 30%. Toko B menjual barang yang sama seharga Rp280.000 diskon 25%. Kesimpulan yang tepat adalah ....,Tidak dapat ditentukan,Keduanya sama,Toko B lebih hemat Rp0,Toko A lebih hemat Rp0,Toko B lebih hemat Rp20.000,B,"Hitung harga akhir masing-masing toko, jangan hanya melihat persen diskon.","Toko A = 70% × Rp300.000, Toko B = 75% × Rp280.000.",,Toko A = Rp210.000 dan Toko B = Rp210.000. Maka keduanya sama.,M1A/R1
M1A-F06-SD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I3,2,Sedang,PG,Toko A menjual barang seharga Rp420.000 diskon 35%. Toko B menjual barang yang sama seharga Rp390.000 diskon 30%. Kesimpulan yang tepat adalah ....,Tidak dapat ditentukan,Toko B lebih hemat Rp0,Toko A lebih hemat Rp0,Keduanya sama,Toko B lebih hemat Rp30.000,D,"Hitung harga akhir masing-masing toko, jangan hanya melihat persen diskon.","Toko A = 65% × Rp420.000, Toko B = 70% × Rp390.000.",,Toko A = Rp273.000 dan Toko B = Rp273.000. Maka keduanya sama.,M1A/R1
M1A-F07-SD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,Sebuah barang seharga Rp250.000 mendapat diskon bertingkat 15% lalu 20%. Harga akhirnya adalah ....,Rp80.000,Rp212.500,Rp162.500,Rp170.000,Rp200.000,D,"Diskon kedua dihitung dari harga setelah diskon pertama, bukan dari harga awal.","Hitung dulu 15% dari Rp250.000, lalu hitung 20% dari harga baru.",,Setelah diskon pertama: Rp212.500. Setelah diskon kedua: Rp170.000.,M1A/R1
M1A-F07-SD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,Sebuah barang seharga Rp320.000 mendapat diskon bertingkat 25% lalu 5%. Harga akhirnya adalah ....,Rp224.000,Rp240.000,Rp304.000,Rp92.000,Rp228.000,E,"Diskon kedua dihitung dari harga setelah diskon pertama, bukan dari harga awal.","Hitung dulu 25% dari Rp320.000, lalu hitung 5% dari harga baru.",,Setelah diskon pertama: Rp240.000. Setelah diskon kedua: Rp228.000.,M1A/R1
M1A-F07-SD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,"Sebuah barang seharga Rp480.000 mendapat diskon bertingkat 10% lalu 12,5%. Harga akhirnya adalah ....",Rp378.000,Rp372.000,Rp432.000,Rp102.000,Rp420.000,A,"Diskon kedua dihitung dari harga setelah diskon pertama, bukan dari harga awal.","Hitung dulu 10% dari Rp480.000, lalu hitung 12,5% dari harga baru.",,Setelah diskon pertama: Rp432.000. Setelah diskon kedua: Rp378.000.,M1A/R1
M1A-F08-SD-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,Harga sandal adalah Rp160.000 dan mendapat diskon 15%. Besar diskon dan harga akhirnya berturut-turut adalah ....,Rp15.000 dan Rp145.000,Rp30.000 dan Rp130.000,Rp24.000 dan Rp136.000,Rp20.000 dan Rp140.000,Rp32.000 dan Rp128.000,C,Hitung besar diskon terlebih dahulu.,"15% × Rp160.000 = Rp24.000, lalu kurangkan.",,Besar diskon = Rp24.000. Harga akhir = Rp136.000.,R1
M1A-F08-SD-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,Rani membeli 2 botol minum. Harga satu botol Rp75.000 dan masing-masing mendapat diskon 20%. Total pembayaran Rani adalah ....,Rp90.000,Rp120.000,Rp60.000,Rp150.000,Rp135.000,B,Hitung harga satu botol setelah diskon.,"Setelah itu, kalikan dengan jumlah botol.",,Satu botol = Rp60.000. Total = 2 × Rp60.000 = Rp120.000.,R1/R2
M1A-F08-SD-V03,M1A,Diskon dan Harga Akhir,PRACTICE,I1,2,Sedang,PG,Harga akhir sebuah sepatu setelah diskon 15% adalah Rp255.000. Harga awal sepatu tersebut adalah ....,Rp285.000,Rp293.250,Rp325.000,Rp315.000,Rp300.000,E,"Setelah diskon 15%, harga akhir adalah 85% dari harga awal.","Harga awal = Rp255.000 ÷ 0,85.",,Harga awal = Rp300.000.,R1
M1A-PRE-SD-V02,M1A,Diskon dan Harga Akhir,PRETEST,I1,2,Sedang,PG,"Sebuah barang seharga Rp320.000 mendapat diskon 12,5%. Harga setelah diskon adalah ....",Rp320.000,Rp300.000,Rp280.000,Rp40.000,Rp264.000,C,,,,"Diskon = 12,5% × Rp320.000 = Rp40.000. Harga akhir = Rp320.000 − Rp40.000 = Rp280.000.",R1
M1A-PRE-SD-V03,M1A,Diskon dan Harga Akhir,PRETEST,I2,2,Sedang,PG,Sebuah barang seharga Rp80.000 mendapat diskon 35%. Besar diskon barang tersebut adalah ....,Rp52.000,Rp14.000,Rp28.000,Rp80.000,Rp32.000,C,,,,Besar diskon = 35% × Rp80.000 = Rp28.000.,R1
M1A-POST-SL-V02,M1A,Diskon dan Harga Akhir,POSTTEST,I2,3,Sulit,PG,Sebuah barang seharga Rp240.000 mendapat diskon 25%. Besar diskon barang tersebut adalah ....,Rp240.000,Rp30.000,Rp60.000,Rp180.000,Rp72.000,C,,,,Besar diskon = 25% × Rp240.000 = Rp60.000.,R1
M1A-POST-SL-V03,M1A,Diskon dan Harga Akhir,POSTTEST,I1,3,Sulit,PG,Sebuah barang seharga Rp75.000 mendapat diskon 18%. Harga setelah diskon adalah ....,Rp68.250,Rp61.500,Rp75.000,Rp13.500,Rp57.750,B,,,,Diskon = 18% × Rp75.000 = Rp13.500. Harga akhir = Rp75.000 − Rp13.500 = Rp61.500.,R1
M1A-F01-SL-V01,M1A,Diskon dan Harga Akhir,PRACTICE,I2,3,Sulit,PG,Sebuah barang seharga Rp300.000 mendapat diskon 20%. Besar diskon barang tersebut adalah ....,Rp30.000,Rp240.000,Rp75.000,Rp300.000,Rp60.000,E,Diskon 20% dihitung dari harga awal Rp300.000.,Kalikan 20% dengan Rp300.000 untuk memperoleh besar potongan.,,Besar diskon = 20% × Rp300.000 = Rp60.000.,R1
M1A-F01-SL-V02,M1A,Diskon dan Harga Akhir,PRACTICE,I2,3,Sulit,PG,Sebuah barang seharga Rp240.000 mendapat diskon 25%. Besar diskon barang tersebut adalah ....,Rp240.000,Rp30.000,Rp60.000,Rp180.000,Rp72.000,C,Diskon 25% dihitung dari harga awal Rp240.000.,Kalikan 25% dengan Rp240.000 untuk memperoleh besar potongan.,,Besar diskon = 25% × Rp240.000 = Rp60.000.,R1
