"content_id","checkpoint_no","question","option_a","option_b","option_c","option_d","correct_answer","explanation"
"M1B-FULL","2","Barang Rp350.000 mendapat diskon 10%. Setelah diskon dikenakan biaya layanan 2% dan ongkir Rp15.000. Total bayar adalah ....","Rp321.300","Rp336.300","Rp356.300","Rp392.000","B","Harga setelah diskon = Rp315.000. Biaya layanan = 2% × Rp315.000 = Rp6.300. Total = Rp315.000 + Rp6.300 + Rp15.000 = Rp336.300."
"M1B-FULL","3","Barang Rp600.000 mendapat diskon 25%, lalu voucher Rp40.000. Setelah itu dikenakan PPN 11%, biaya layanan 2%, dan ongkir Rp25.000. PPN dan layanan dihitung dari harga setelah diskon dan voucher. Total bayar adalah ....","Rp455.100","Rp480.100","Rp488.300","Rp528.300","C","Setelah diskon = Rp450.000. Setelah voucher = Rp410.000. PPN = Rp45.100. Layanan = Rp8.200. Total = Rp410.000 + Rp45.100 + Rp8.200 + Rp25.000 = Rp488.300."
"M1B-FULL","4","Toko A menjual barang Rp500.000 diskon 30% dengan ongkir Rp30.000. Toko B menjual barang sama Rp420.000 dengan voucher Rp70.000 dan ongkir Rp20.000. Pilihan yang lebih hemat adalah ....","Toko A lebih hemat Rp10.000","Toko B lebih hemat Rp10.000","Keduanya sama","Toko B lebih hemat Rp30.000","B","Toko A = 70% × Rp500.000 + Rp30.000 = Rp380.000. Toko B = Rp420.000 − Rp70.000 + Rp20.000 = Rp370.000. Toko B lebih hemat Rp10.000."
"M1B-FULL","5","Siswa memiliki uang Rp450.000. Ia membeli barang Rp500.000 diskon 20%, lalu dikenakan PPN 11% dan ongkir Rp15.000. Kesimpulan yang tepat adalah ....","Uang cukup dan sisa Rp9.000","Uang kurang Rp9.000","Uang kurang Rp15.000","Uang tepat cukup","B","Harga setelah diskon = Rp400.000. PPN = Rp44.000. Total = Rp400.000 + Rp44.000 + Rp15.000 = Rp459.000. Uang kurang Rp9.000."
"M1C-SHORT","1","Sebuah barang bermodal Rp90.000 dijual Rp117.000. Besar untungnya adalah ....","Rp17.000","Rp27.000","Rp90.000","Rp207.000","B","Untung = Rp117.000 − Rp90.000 = Rp27.000."
"M1C-SHORT","2","Sebuah barang bermodal Rp200.000 dijual Rp170.000. Besar ruginya adalah ....","Rp20.000","Rp30.000","Rp170.000","Rp370.000","B","Rugi = Rp200.000 − Rp170.000 = Rp30.000."
"M1C-SHORT","3","Modal sebuah barang Rp160.000 dan harga jualnya Rp200.000. Persentase keuntungannya adalah ....","20%","25%","30%","40%","B","Untung = Rp40.000. Persentase untung = Rp40.000 ÷ Rp160.000 × 100% = 25%."
"M1C-FULL","1","Seorang pedagang membeli barang Rp300.000 dan membayar biaya kirim Rp20.000. Barang dijual Rp360.000. Keuntungan sebenarnya adalah ....","Rp40.000","Rp60.000","Rp80.000","Rp100.000","A","Modal total = Rp300.000 + Rp20.000 = Rp320.000. Untung = Rp360.000 − Rp320.000 = Rp40.000."
"M1C-FULL","2","Barang bermodal Rp240.000 dijual Rp204.000. Persentase kerugiannya adalah ....","10%","15%","20%","25%","B","Rugi = Rp240.000 − Rp204.000 = Rp36.000. Persentase rugi = Rp36.000 ÷ Rp240.000 × 100% = 15%."
"M1C-FULL","3","Seorang pedagang membeli 50 barang @Rp4.000 dan membayar biaya kemasan Rp25.000. Jika ingin untung 20% dari modal total, harga jual total yang harus diperoleh adalah ....","Rp245.000","Rp250.000","Rp270.000","Rp300.000","C","Modal barang = 50 × Rp4.000 = Rp200.000. Modal total = Rp225.000. Harga jual target = 120% × Rp225.000 = Rp270.000."
"M1C-FULL","4","Modal sebuah barang Rp150.000. Jika ingin mendapat keuntungan 30%, harga jual yang harus ditetapkan adalah ....","Rp180.000","Rp185.000","Rp195.000","Rp200.000","C","Untung = 30% × Rp150.000 = Rp45.000. Harga jual = Rp150.000 + Rp45.000 = Rp195.000."
"M1C-FULL","5","Modal barang Rp180.000. Barang diberi label harga Rp240.000, lalu dijual dengan diskon 15%. Besar keuntungan sebenarnya adalah ....","Rp18.000","Rp24.000","Rp36.000","Rp60.000","B","Harga jual setelah diskon = 85% × Rp240.000 = Rp204.000. Untung = Rp204.000 − Rp180.000 = Rp24.000."
"M1D-SHORT","1","Tabungan Rp800.000 mendapat bunga 10% per tahun selama 1 tahun. Besar bunga adalah ....","Rp8.000","Rp80.000","Rp88.000","Rp880.000","B","Bunga = Rp800.000 × 10% × 1 = Rp80.000."
"M1D-SHORT","2","Tabungan Rp1.500.000 mendapat bunga 12% per tahun selama 3 bulan. Besar bunga adalah ....","Rp30.000","Rp45.000","Rp90.000","Rp180.000","B","3 bulan = 3/12 tahun = 0,25 tahun. Bunga = Rp1.500.000 × 12% × 0,25 = Rp45.000."
"M1D-SHORT","3","Pinjaman Rp900.000 dikenakan bunga 1,5% per bulan selama 4 bulan. Total pengembalian adalah ....","Rp913.500","Rp954.000","Rp1.054.000","Rp1.440.000","B","Bunga = Rp900.000 × 1,5% × 4 = Rp54.000. Total pengembalian = Rp900.000 + Rp54.000 = Rp954.000."
"M1D-FULL","1","Tabungan Rp2.500.000 mendapat bunga 6% per tahun selama 4 bulan. Jumlah akhir tabungan adalah ....","Rp2.505.000","Rp2.550.000","Rp2.650.000","Rp3.100.000","B","4 bulan = 4/12 tahun. Bunga = Rp2.500.000 × 6% × 4/12 = Rp50.000. Jumlah akhir = Rp2.550.000."
"M1D-FULL","2","Pinjaman Rp1.800.000 dikenakan bunga 0,8% per bulan selama 5 bulan. Total pengembalian adalah ....","Rp1.814.400","Rp1.872.000","Rp1.944.000","Rp2.160.000","B","Bunga = Rp1.800.000 × 0,8% × 5 = Rp72.000. Total pengembalian = Rp1.872.000."
"M1D-FULL","3","Tabungan Rp3.600.000 mendapat bunga 9% per tahun selama 8 bulan. Jumlah akhir tabungan adalah ....","Rp3.708.000","Rp3.816.000","Rp3.924.000","Rp4.104.000","B","8 bulan = 8/12 tahun. Bunga = Rp3.600.000 × 9% × 8/12 = Rp216.000. Jumlah akhir = Rp3.816.000."
"M1D-FULL","4","Dua tabungan bermodal Rp2.000.000 selama 9 bulan. Bank A memberi bunga 8% per tahun, sedangkan Bank B memberi bunga 0,7% per bulan. Bank yang memberi bunga lebih besar adalah ....","Bank A lebih besar Rp6.000","Bank B lebih besar Rp6.000","Keduanya sama","Bank A lebih besar Rp14.000","B","Bunga A = Rp2.000.000 × 8% × 9/12 = Rp120.000. Bunga B = Rp2.000.000 × 0,7% × 9 = Rp126.000. Bank B lebih besar Rp6.000."
"M1D-FULL","5","Pinjaman Rp5.000.000 selama 6 bulan. Pilihan A mengenakan bunga 1,2% per bulan, sedangkan pilihan B mengenakan bunga 10% per tahun. Pilihan yang lebih ringan adalah ....","A lebih ringan Rp110.000","B lebih ringan Rp110.000","B lebih ringan Rp100.000","Keduanya sama","B","Bunga A = Rp5.000.000 × 1,2% × 6 = Rp360.000. Bunga B = Rp5.000.000 × 10% × 6/12 = Rp250.000. Pilihan B lebih ringan Rp110.000."
"M1E-SHORT","1","Sebuah produk memiliki bruto 4 kg dan tara 0,35 kg. Neto produk tersebut adalah ....","3,55 kg","3,65 kg","4,35 kg","4,50 kg","B","Neto = Bruto − Tara = 4 kg − 0,35 kg = 3,65 kg."
"M1E-SHORT","2","Sebuah produk memiliki neto 1.750 gram dan tara 250 gram. Bruto produk tersebut adalah ....","1.500 gram","1.750 gram","2.000 gram","2.250 gram","C","Bruto = Neto + Tara = 1.750 gram + 250 gram = 2.000 gram."
"M1E-SHORT","3","Sebuah produk memiliki bruto 3 kg dan tara 400 gram. Neto produk dalam gram adalah ....","2.400 gram","2.600 gram","3.000 gram","3.400 gram","B","3 kg = 3.000 gram. Neto = 3.000 gram − 400 gram = 2.600 gram."
"M1E-FULL","1","Sebuah barang memiliki bruto 6 kg dan neto 5,7 kg. Tara barang tersebut dalam gram adalah ....","30 gram","300 gram","570 gram","1.170 gram","B","Tara = Bruto − Neto = 6 kg − 5,7 kg = 0,3 kg = 300 gram."
"M1E-FULL","2","Sebuah kemasan memiliki bruto 7,5 kg. Tara kemasan adalah 4% dari bruto. Neto kemasan tersebut adalah ....","7,0 kg","7,2 kg","7,3 kg","7,8 kg","B","Tara = 4% × 7,5 kg = 0,3 kg. Neto = 7,5 kg − 0,3 kg = 7,2 kg."
"M1E-FULL","3","Sebuah produk memiliki neto 2,8 kg dan tara 350 gram. Bruto produk tersebut adalah ....","2,45 kg","3,15 kg","3,50 kg","3,150 gram","B","350 gram = 0,35 kg. Bruto = 2,8 kg + 0,35 kg = 3,15 kg."
"M1E-FULL","4","Produk A memiliki bruto 3,2 kg dan tara 200 gram. Produk B memiliki bruto 3 kg dan tara 2% dari bruto. Kesimpulan yang tepat adalah ....","Produk A lebih besar 60 gram","Produk B lebih besar 60 gram","Keduanya sama","Produk A lebih besar 600 gram","A","Neto A = 3,2 kg − 0,2 kg = 3,0 kg. Tara B = 2% × 3 kg = 0,06 kg. Neto B = 2,94 kg. Produk A lebih besar 0,06 kg = 60 gram."
"M1E-FULL","5","Neto total sebuah produk adalah 8,4 kg dan dibagi rata ke dalam 7 kantong. Isi bersih tiap kantong adalah ....","1,0 kg","1,2 kg","1,4 kg","1,7 kg","B","Isi tiap kantong = 8,4 kg ÷ 7 = 1,2 kg."
"M1F-SHORT","1","Toko A menjual barang Rp250.000 diskon 20%. Toko B menjual barang sama Rp210.000 dengan voucher Rp20.000. Pilihan yang lebih hemat adalah ....","Toko A lebih hemat Rp10.000","Toko B lebih hemat Rp10.000","Keduanya sama","Toko B lebih hemat Rp30.000","B","Toko A = 80% × Rp250.000 = Rp200.000. Toko B = Rp210.000 − Rp20.000 = Rp190.000. Toko B lebih hemat Rp10.000."
"M1F-SHORT","2","Harga barang Rp220.000 mendapat voucher Rp30.000 dan ongkir Rp18.000. Total bayar adalah ....","Rp172.000","Rp190.000","Rp208.000","Rp268.000","C","Total bayar = Rp220.000 − Rp30.000 + Rp18.000 = Rp208.000."
"M1F-SHORT","3","Paket A berisi 4 produk seharga Rp52.000. Paket B berisi 6 produk seharga Rp84.000. Paket yang lebih hemat per produk adalah ....","Paket A","Paket B","Keduanya sama","Tidak dapat ditentukan","A","Paket A = Rp52.000 ÷ 4 = Rp13.000 per produk. Paket B = Rp84.000 ÷ 6 = Rp14.000 per produk. Paket A lebih hemat."
"M1F-FULL","1","Toko A menjual barang Rp450.000 diskon 30% dengan ongkir Rp25.000. Toko B menjual barang sama Rp390.000 diskon 15% dengan ongkir Rp5.000. Pilihan yang lebih hemat adalah ....","Toko A lebih hemat Rp3.500","Toko B lebih hemat Rp3.500","Keduanya sama","Toko B lebih hemat Rp8.500","B","Toko A = 70% × Rp450.000 + Rp25.000 = Rp340.000. Toko B = 85% × Rp390.000 + Rp5.000 = Rp336.500. Toko B lebih hemat Rp3.500."
"M1F-FULL","2","Barang seharga Rp480.000 memiliki promo diskon 10% atau voucher Rp55.000. Promo yang lebih hemat adalah ....","Diskon 10% lebih hemat Rp7.000","Voucher Rp55.000 lebih hemat Rp7.000","Keduanya sama","Voucher Rp55.000 lebih hemat Rp55.000","B","Diskon 10% dari Rp480.000 = Rp48.000. Voucher Rp55.000 lebih besar daripada Rp48.000, sehingga voucher lebih hemat Rp7.000."
"M1F-FULL","3","Sebuah transaksi terdiri dari 3 kaos @Rp80.000 diskon 25% dan 2 topi @Rp45.000 diskon 10%. Total pembayaran adalah ....","Rp249.000","Rp261.000","Rp270.000","Rp330.000","B","Kaos: 3 × Rp80.000 = Rp240.000, setelah diskon menjadi Rp180.000. Topi: 2 × Rp45.000 = Rp90.000, setelah diskon menjadi Rp81.000. Total = Rp261.000."
"M1F-FULL","4","Paket A berisi 10 produk seharga Rp220.000 diskon 20%. Paket B berisi 8 produk seharga Rp136.000 tanpa diskon. Paket yang lebih hemat per produk adalah ....","Paket A lebih hemat Rp600 per produk","Paket B lebih hemat Rp600 per produk","Keduanya sama","Paket B lebih hemat Rp1.000 per produk","B","Paket A = 80% × Rp220.000 = Rp176.000, per produk Rp17.600. Paket B = Rp136.000 ÷ 8 = Rp17.000. Paket B lebih hemat Rp600 per produk."
"M1F-FULL","5","Siswa memiliki uang Rp700.000. Ia membeli barang Rp900.000 diskon 25%, lalu dikenakan biaya layanan 2% dari harga setelah diskon dan ongkir Rp20.000. Kesimpulan yang tepat adalah ....","Uang cukup dan sisa Rp8.500","Uang kurang Rp8.500","Uang kurang Rp28.500","Uang tepat cukup","B","Harga setelah diskon = Rp675.000. Biaya layanan = 2% × Rp675.000 = Rp13.500. Total bayar = Rp675.000 + Rp13.500 + Rp20.000 = Rp708.500. Uang kurang Rp8.500."
"R1-SHORT","1","15% dari Rp300.000 adalah ....","Rp15.000","Rp30.000","Rp45.000","Rp150.000","C","15% = 0,15. Jadi 15% × Rp300.000 = Rp45.000."
"R1-SHORT","2","5% dari Rp180.000 adalah ....","Rp900","Rp9.000","Rp18.000","Rp90.000","B","5% = 0,05. Jadi 0,05 × Rp180.000 = Rp9.000."
"R1-SHORT","3","12,5% dari Rp160.000 adalah ....","Rp12.500","Rp16.000","Rp20.000","Rp40.000","C","12,5% = 1/8. Jadi Rp160.000 ÷ 8 = Rp20.000."
"R1-FULL","1","30% dari Rp260.000 adalah ....","Rp26.000","Rp52.000","Rp78.000","Rp182.000","C","30% = 0,30. Jadi 0,30 × Rp260.000 = Rp78.000."
"R1-FULL","2","6,25% dari Rp640.000 adalah ....","Rp32.000","Rp40.000","Rp64.000","Rp100.000","B","6,25% = 1/16. Jadi Rp640.000 ÷ 16 = Rp40.000."
"R1-FULL","3","11% dari Rp350.000 adalah ....","Rp3.850","Rp35.000","Rp38.500","Rp385.000","C","11% = 0,11. Jadi 0,11 × Rp350.000 = Rp38.500."
"R1-FULL","4","Modal barang Rp250.000 dan rugi Rp50.000. Persentase kerugiannya adalah ....","15%","20%","25%","30%","B","Persentase rugi = Rp50.000 ÷ Rp250.000 × 100% = 20%."
"R1-FULL","5","Sebuah kemasan memiliki bruto 12 kg. Tara adalah 7,5% dari bruto. Besar tara adalah ....","0,09 kg","0,75 kg","0,9 kg","1,2 kg","C","Tara = 7,5% × 12 kg = 0,9 kg."
"R2-SHORT","1","Harga barang Rp180.000 mendapat voucher Rp25.000 dan ongkir Rp12.000. Total bayar adalah ....","Rp143.000","Rp155.000","Rp167.000","Rp217.000","C","Total bayar = Rp180.000 − Rp25.000 + Rp12.000 = Rp167.000."
"R2-SHORT","2","Dina membeli 4 buku @Rp9.000 dan 3 pulpen @Rp5.000. Total belanja Dina adalah ....","Rp41.000","Rp46.000","Rp51.000","Rp56.000","C","Buku = 4 × Rp9.000 = Rp36.000. Pulpen = 3 × Rp5.000 = Rp15.000. Total = Rp51.000."
"R2-SHORT","3","Siswa memiliki uang Rp250.000. Total bayar belanjanya Rp268.000. Kesimpulan yang tepat adalah ....","Uang sisa Rp18.000","Uang kurang Rp18.000","Uang kurang Rp8.000","Uang cukup dan sisa Rp8.000","B","Karena total bayar lebih besar dari uang tersedia, kekurangan = Rp268.000 − Rp250.000 = Rp18.000."
"R2-FULL","1","Barang Rp300.000 mendapat potongan Rp45.000, biaya layanan Rp5.000, dan ongkir Rp18.000. Total bayar adalah ....","Rp260.000","Rp278.000","Rp323.000","Rp368.000","B","Total bayar = Rp300.000 − Rp45.000 + Rp5.000 + Rp18.000 = Rp278.000."
"R2-FULL","2","Sebuah transaksi terdiri dari 3 snack @Rp8.000, 2 minuman @Rp12.000, dan 1 roti Rp15.000. Total belanja adalah ....","Rp51.000","Rp58.000","Rp63.000","Rp69.000","C","Snack = Rp24.000. Minuman = Rp24.000. Roti = Rp15.000. Total = Rp63.000."
"R2-FULL","3","Pembeli memiliki uang Rp500.000. Total bayar belanjanya Rp443.400. Sisa uang pembeli adalah ....","Rp46.600","Rp56.600","Rp66.600","Rp143.400","B","Sisa uang = Rp500.000 − Rp443.400 = Rp56.600."
"R2-FULL","4","Seorang pedagang membeli barang Rp400.000 dan membayar biaya servis Rp50.000. Barang dijual Rp520.000. Keuntungan sebenarnya adalah ....","Rp70.000","Rp120.000","Rp170.000","Rp970.000","A","Modal total = Rp400.000 + Rp50.000 = Rp450.000. Untung = Rp520.000 − Rp450.000 = Rp70.000."
"R2-FULL","5","Tabungan awal Rp1.750.000 mendapat bunga Rp87.500. Jumlah akhir tabungan adalah ....","Rp1.662.500","Rp1.750.000","Rp1.837.500","Rp1.925.000","C","Jumlah akhir = modal awal + bunga = Rp1.750.000 + Rp87.500 = Rp1.837.500."
"R3-SHORT","1","Paket berisi 9 barang seharga Rp81.000. Harga per barang adalah ....","Rp8.000","Rp9.000","Rp10.000","Rp12.000","B","Harga per barang = Rp81.000 ÷ 9 = Rp9.000."
"R3-SHORT","2","Paket A berisi 8 barang seharga Rp96.000. Paket B berisi 5 barang seharga Rp65.000. Paket yang lebih hemat per barang adalah ....","Paket A","Paket B","Keduanya sama","Tidak dapat ditentukan","A","Paket A = Rp96.000 ÷ 8 = Rp12.000 per barang. Paket B = Rp65.000 ÷ 5 = Rp13.000 per barang. Paket A lebih hemat."
"R3-SHORT","3","Neto total sebuah produk adalah 7,2 kg dan dibagi rata ke dalam 6 kantong. Isi tiap kantong adalah ....","0,9 kg","1,1 kg","1,2 kg","1,4 kg","C","Isi tiap kantong = 7,2 kg ÷ 6 = 1,2 kg."
"R3-FULL","1","Paket berisi 8 pensil seharga Rp28.000. Harga per pensil adalah ....","Rp3.000","Rp3.500","Rp4.000","Rp4.500","B","Harga per pensil = Rp28.000 ÷ 8 = Rp3.500."
"R3-FULL","2","Paket A berisi 12 botol seharga Rp150.000. Paket B berisi 8 botol seharga Rp104.000. Paket yang lebih hemat per botol adalah ....","Paket A lebih hemat Rp500 per botol","Paket B lebih hemat Rp500 per botol","Keduanya sama","Paket A lebih hemat Rp1.000 per botol","A","Paket A = Rp150.000 ÷ 12 = Rp12.500 per botol. Paket B = Rp104.000 ÷ 8 = Rp13.000 per botol. Paket A lebih hemat Rp500 per botol."
"R3-FULL","3","Paket A berisi 6 produk seharga Rp90.000 dan mendapat diskon 10%. Paket B berisi 4 produk seharga Rp56.000. Paket yang lebih hemat per produk adalah ....","Paket A lebih hemat Rp500 per produk","Paket B lebih hemat Rp500 per produk","Keduanya sama","Paket A lebih hemat Rp1.000 per produk","A","Harga akhir Paket A = 90% × Rp90.000 = Rp81.000. Harga per produk A = Rp13.500. Harga per produk B = Rp56.000 ÷ 4 = Rp14.000. Paket A lebih hemat Rp500 per produk."
"R3-FULL","4","Neto total suatu produk adalah 12,6 kg dan dibagi rata ke dalam 9 kantong. Isi tiap kantong adalah ....","1,2 kg","1,3 kg","1,4 kg","1,5 kg","C","Isi tiap kantong = 12,6 kg ÷ 9 = 1,4 kg."
"R3-FULL","5","Total harga jual 30 barang adalah Rp300.000. Harga jual per barang adalah ....","Rp8.000","Rp9.000","Rp10.000","Rp12.000","C","Harga jual per barang = Rp300.000 ÷ 30 = Rp10.000."
