question_id,mode,material_id,floor_number,difficulty,variant_number,indicator,cognitive_level,question_type,context_tag,question_text,option_a,option_b,option_c,option_d,correct_answer,correct_value,hint_1,hint_2,explanation,common_error_tag,remedial_material_id,is_active
M1A-F02-MD-V02,PRACTICE,M1A,2,MUDAH,2,I2,C3,PG,diskon,Sebuah barang seharga Rp75.000 mendapat diskon 10%. Besar diskon barang tersebut adalah ....,Rp67.500,Rp75.000,Rp7.500,Rp3.750,C,Rp7.500,Diskon 10% dihitung dari harga awal Rp75.000.,Kalikan 10% dengan Rp75.000 untuk memperoleh besar potongan.,Besar diskon = 10% × Rp75.000 = Rp7.500.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F02-MD-V03,PRACTICE,M1A,2,MUDAH,3,I2,C3,PG,diskon,Sebuah barang seharga Rp60.000 mendapat diskon 50%. Besar diskon barang tersebut adalah ....,Rp60.000,Rp45.000,Rp15.000,Rp30.000,D,Rp30.000,Diskon 50% dihitung dari harga awal Rp60.000.,Kalikan 50% dengan Rp60.000 untuk memperoleh besar potongan.,Besar diskon = 50% × Rp60.000 = Rp30.000.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F02-SD-V01,PRACTICE,M1A,2,SEDANG,1,I2,C3,PG,diskon,Sebuah barang seharga Rp220.000 mendapat diskon 15%. Besar diskon barang tersebut adalah ....,Rp220.000,Rp187.000,Rp16.500,Rp33.000,D,Rp33.000,Diskon 15% dihitung dari harga awal Rp220.000.,Kalikan 15% dengan Rp220.000 untuk memperoleh besar potongan.,Besar diskon = 15% × Rp220.000 = Rp33.000.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F02-SD-V02,PRACTICE,M1A,2,SEDANG,2,I2,C3,PG,diskon,Sebuah barang seharga Rp150.000 mendapat diskon 12%. Besar diskon barang tersebut adalah ....,Rp18.000,Rp9.000,Rp132.000,Rp150.000,A,Rp18.000,Diskon 12% dihitung dari harga awal Rp150.000.,Kalikan 12% dengan Rp150.000 untuk memperoleh besar potongan.,Besar diskon = 12% × Rp150.000 = Rp18.000.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F02-SD-V03,PRACTICE,M1A,2,SEDANG,3,I2,C3,PG,diskon,Sebuah barang seharga Rp80.000 mendapat diskon 35%. Besar diskon barang tersebut adalah ....,Rp52.000,Rp14.000,Rp28.000,Rp80.000,C,Rp28.000,Diskon 35% dihitung dari harga awal Rp80.000.,Kalikan 35% dengan Rp80.000 untuk memperoleh besar potongan.,Besar diskon = 35% × Rp80.000 = Rp28.000.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F02-SL-V01,PRACTICE,M1A,2,SULIT,1,I2,C4,PG,diskon,Sebuah barang seharga Rp250.000 mendapat diskon 18%. Besar diskon barang tersebut adalah ....,Rp205.000,Rp45.000,Rp22.500,Rp250.000,B,Rp45.000,Diskon 18% dihitung dari harga awal Rp250.000.,Kalikan 18% dengan Rp250.000 untuk memperoleh besar potongan.,Besar diskon = 18% × Rp250.000 = Rp45.000.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F02-SL-V02,PRACTICE,M1A,2,SULIT,2,I2,C4,PG,diskon,"Sebuah barang seharga Rp400.000 mendapat diskon 7,5%. Besar diskon barang tersebut adalah ....",Rp400.000,Rp370.000,Rp15.000,Rp30.000,D,Rp30.000,"Diskon 7,5% dihitung dari harga awal Rp400.000.","Kalikan 7,5% dengan Rp400.000 untuk memperoleh besar potongan.","Besar diskon = 7,5% × Rp400.000 = Rp30.000.",ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F02-SL-V03,PRACTICE,M1A,2,SULIT,3,I2,C4,PG,diskon,Sebuah barang seharga Rp350.000 mendapat diskon 22%. Besar diskon barang tersebut adalah ....,Rp273.000,Rp77.000,Rp350.000,Rp38.500,B,Rp77.000,Diskon 22% dihitung dari harga awal Rp350.000.,Kalikan 22% dengan Rp350.000 untuk memperoleh besar potongan.,Besar diskon = 22% × Rp350.000 = Rp77.000.,ERR_PERCENT_CONVERSION,R1,TRUE
M1A-F03-MD-V01,PRACTICE,M1A,3,MUDAH,1,I1/I2,C3,PG,diskon,Sebuah barang seharga Rp100.000 mendapat diskon 10%. Harga setelah diskon adalah ....,Rp10.000,Rp100.000,Rp90.000,Rp95.000,C,Rp90.000,Cari dahulu besar diskon 10% dari Rp100.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp100.000.",Diskon = 10% × Rp100.000 = Rp10.000. Harga akhir = Rp100.000 − Rp10.000 = Rp90.000.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F03-MD-V02,PRACTICE,M1A,3,MUDAH,2,I1/I2,C3,PG,diskon,Sebuah barang seharga Rp150.000 mendapat diskon 20%. Harga setelah diskon adalah ....,Rp150.000,Rp30.000,Rp135.000,Rp120.000,D,Rp120.000,Cari dahulu besar diskon 20% dari Rp150.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp150.000.",Diskon = 20% × Rp150.000 = Rp30.000. Harga akhir = Rp150.000 − Rp30.000 = Rp120.000.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F03-MD-V03,PRACTICE,M1A,3,MUDAH,3,I1/I2,C3,PG,diskon,Sebuah barang seharga Rp200.000 mendapat diskon 25%. Harga setelah diskon adalah ....,Rp200.000,Rp175.000,Rp150.000,Rp50.000,C,Rp150.000,Cari dahulu besar diskon 25% dari Rp200.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp200.000.",Diskon = 25% × Rp200.000 = Rp50.000. Harga akhir = Rp200.000 − Rp50.000 = Rp150.000.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F03-SD-V01,PRACTICE,M1A,3,SEDANG,1,I1/I2,C3,PG,diskon,Sebuah barang seharga Rp175.000 mendapat diskon 12%. Harga setelah diskon adalah ....,Rp164.500,Rp175.000,Rp21.000,Rp154.000,D,Rp154.000,Cari dahulu besar diskon 12% dari Rp175.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp175.000.",Diskon = 12% × Rp175.000 = Rp21.000. Harga akhir = Rp175.000 − Rp21.000 = Rp154.000.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F03-SD-V02,PRACTICE,M1A,3,SEDANG,2,I1/I2,C3,PG,diskon,Sebuah barang seharga Rp240.000 mendapat diskon 35%. Harga setelah diskon adalah ....,Rp156.000,Rp198.000,Rp84.000,Rp240.000,A,Rp156.000,Cari dahulu besar diskon 35% dari Rp240.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp240.000.",Diskon = 35% × Rp240.000 = Rp84.000. Harga akhir = Rp240.000 − Rp84.000 = Rp156.000.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F03-SD-V03,PRACTICE,M1A,3,SEDANG,3,I1/I2,C3,PG,diskon,Sebuah barang seharga Rp125.000 mendapat diskon 8%. Harga setelah diskon adalah ....,Rp115.000,Rp10.000,Rp125.000,Rp120.000,A,Rp115.000,Cari dahulu besar diskon 8% dari Rp125.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp125.000.",Diskon = 8% × Rp125.000 = Rp10.000. Harga akhir = Rp125.000 − Rp10.000 = Rp115.000.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F03-SL-V01,PRACTICE,M1A,3,SULIT,1,I1/I2,C4,PG,diskon,"Sebuah barang seharga Rp360.000 mendapat diskon 27,5%. Harga setelah diskon adalah ....",Rp360.000,Rp99.000,Rp310.500,Rp261.000,D,Rp261.000,"Cari dahulu besar diskon 27,5% dari Rp360.000.","Setelah besar diskon diperoleh, kurangkan dari harga awal Rp360.000.","Diskon = 27,5% × Rp360.000 = Rp99.000. Harga akhir = Rp360.000 − Rp99.000 = Rp261.000.",ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F03-SL-V02,PRACTICE,M1A,3,SULIT,2,I1/I2,C4,PG,diskon,"Sebuah barang seharga Rp480.000 mendapat diskon 18,75%. Harga setelah diskon adalah ....",Rp480.000,Rp90.000,Rp435.000,Rp390.000,D,Rp390.000,"Cari dahulu besar diskon 18,75% dari Rp480.000.","Setelah besar diskon diperoleh, kurangkan dari harga awal Rp480.000.","Diskon = 18,75% × Rp480.000 = Rp90.000. Harga akhir = Rp480.000 − Rp90.000 = Rp390.000.",ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F03-SL-V03,PRACTICE,M1A,3,SULIT,3,I1/I2,C4,PG,diskon,Sebuah barang seharga Rp650.000 mendapat diskon 32%. Harga setelah diskon adalah ....,Rp442.000,Rp546.000,Rp208.000,Rp650.000,A,Rp442.000,Cari dahulu besar diskon 32% dari Rp650.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp650.000.",Diskon = 32% × Rp650.000 = Rp208.000. Harga akhir = Rp650.000 − Rp208.000 = Rp442.000.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F04-MD-V01,PRACTICE,M1A,4,MUDAH,1,I1/I2,C3,PG,diskon,Sebuah barang seharga Rp95.000 mendapat diskon 20%. Harga setelah diskon adalah ....,Rp76.000,Rp19.000,Rp85.500,Rp95.000,A,Rp76.000,Cari dahulu besar diskon 20% dari Rp95.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp95.000.",Diskon = 20% × Rp95.000 = Rp19.000. Harga akhir = Rp95.000 − Rp19.000 = Rp76.000.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F04-MD-V02,PRACTICE,M1A,4,MUDAH,2,I1/I2,C3,PG,diskon,Sebuah barang seharga Rp60.000 mendapat diskon 15%. Harga setelah diskon adalah ....,Rp60.000,Rp9.000,Rp55.500,Rp51.000,D,Rp51.000,Cari dahulu besar diskon 15% dari Rp60.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp60.000.",Diskon = 15% × Rp60.000 = Rp9.000. Harga akhir = Rp60.000 − Rp9.000 = Rp51.000.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F04-MD-V03,PRACTICE,M1A,4,MUDAH,3,I1/I2,C3,PG,diskon,Sebuah barang seharga Rp40.000 mendapat diskon 25%. Harga setelah diskon adalah ....,Rp35.000,Rp30.000,Rp40.000,Rp10.000,B,Rp30.000,Cari dahulu besar diskon 25% dari Rp40.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp40.000.",Diskon = 25% × Rp40.000 = Rp10.000. Harga akhir = Rp40.000 − Rp10.000 = Rp30.000.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F04-SD-V01,PRACTICE,M1A,4,SEDANG,1,I1/I2,C3,PG,diskon,Sebuah barang seharga Rp280.000 mendapat diskon 15%. Harga setelah diskon adalah ....,Rp259.000,Rp280.000,Rp238.000,Rp42.000,C,Rp238.000,Cari dahulu besar diskon 15% dari Rp280.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp280.000.",Diskon = 15% × Rp280.000 = Rp42.000. Harga akhir = Rp280.000 − Rp42.000 = Rp238.000.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F04-SD-V02,PRACTICE,M1A,4,SEDANG,2,I1/I2,C3,PG,diskon,"Sebuah barang seharga Rp320.000 mendapat diskon 12,5%. Harga setelah diskon adalah ....",Rp320.000,Rp300.000,Rp280.000,Rp40.000,C,Rp280.000,"Cari dahulu besar diskon 12,5% dari Rp320.000.","Setelah besar diskon diperoleh, kurangkan dari harga awal Rp320.000.","Diskon = 12,5% × Rp320.000 = Rp40.000. Harga akhir = Rp320.000 − Rp40.000 = Rp280.000.",ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F04-SD-V03,PRACTICE,M1A,4,SEDANG,3,I1/I2,C3,PG,diskon,Sebuah barang seharga Rp375.000 mendapat diskon 20%. Harga setelah diskon adalah ....,Rp75.000,Rp375.000,Rp337.500,Rp300.000,D,Rp300.000,Cari dahulu besar diskon 20% dari Rp375.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp375.000.",Diskon = 20% × Rp375.000 = Rp75.000. Harga akhir = Rp375.000 − Rp75.000 = Rp300.000.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F04-SL-V01,PRACTICE,M1A,4,SULIT,1,I1/I2,C4,PG,diskon,Sebuah barang seharga Rp280.000 mendapat diskon 15%. Harga setelah diskon adalah ....,Rp259.000,Rp280.000,Rp238.000,Rp42.000,C,Rp238.000,Cari dahulu besar diskon 15% dari Rp280.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp280.000.",Diskon = 15% × Rp280.000 = Rp42.000. Harga akhir = Rp280.000 − Rp42.000 = Rp238.000.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F04-SL-V02,PRACTICE,M1A,4,SULIT,2,I1/I2,C4,PG,diskon,Sebuah barang seharga Rp150.000 mendapat diskon 20%. Harga setelah diskon adalah ....,Rp150.000,Rp30.000,Rp135.000,Rp120.000,D,Rp120.000,Cari dahulu besar diskon 20% dari Rp150.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp150.000.",Diskon = 20% × Rp150.000 = Rp30.000. Harga akhir = Rp150.000 − Rp30.000 = Rp120.000.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F04-SL-V03,PRACTICE,M1A,4,SULIT,3,I1/I2,C4,PG,diskon,Sebuah barang seharga Rp75.000 mendapat diskon 18%. Harga setelah diskon adalah ....,Rp68.250,Rp61.500,Rp75.000,Rp13.500,B,Rp61.500,Cari dahulu besar diskon 18% dari Rp75.000.,"Setelah besar diskon diperoleh, kurangkan dari harga awal Rp75.000.",Diskon = 18% × Rp75.000 = Rp13.500. Harga akhir = Rp75.000 − Rp13.500 = Rp61.500.,ERR_FINAL_PRICE_SUBTRACTION,R1,TRUE
M1A-F05-MD-V01,PRACTICE,M1A,5,MUDAH,1,I1/I3,C3,PG,harga_awal_diskon,Harga akhir sebuah barang setelah diskon 10% adalah Rp90.000. Harga awal barang tersebut adalah ....,Rp100.000,Rp109.000,Rp90.000,Rp50.000,A,Rp100.000,"Jika diskon 10%, harga akhir adalah 90% dari harga awal.",Gunakan harga awal = Rp90.000 ÷ 90%.,Rp90.000 adalah 90% dari harga awal. Harga awal = Rp90.000 ÷ 0.9 = Rp100.000.,ERR_INITIAL_FROM_FINAL,R1,TRUE
M1A-F05-MD-V02,PRACTICE,M1A,5,MUDAH,2,I1/I3,C3,PG,harga_awal_diskon,Harga akhir sebuah barang setelah diskon 20% adalah Rp160.000. Harga awal barang tersebut adalah ....,Rp232.000,Rp160.000,Rp180.000,Rp200.000,D,Rp200.000,"Jika diskon 20%, harga akhir adalah 80% dari harga awal.",Gunakan harga awal = Rp160.000 ÷ 80%.,Rp160.000 adalah 80% dari harga awal. Harga awal = Rp160.000 ÷ 0.8 = Rp200.000.,ERR_INITIAL_FROM_FINAL,R1,TRUE
M1A-F05-MD-V03,PRACTICE,M1A,5,MUDAH,3,I1/I3,C3,PG,harga_awal_diskon,Harga akhir sebuah barang setelah diskon 25% adalah Rp75.000. Harga awal barang tersebut adalah ....,Rp90.000,Rp118.750,Rp75.000,Rp100.000,D,Rp100.000,"Jika diskon 25%, harga akhir adalah 75% dari harga awal.",Gunakan harga awal = Rp75.000 ÷ 75%.,Rp75.000 adalah 75% dari harga awal. Harga awal = Rp75.000 ÷ 0.75 = Rp100.000.,ERR_INITIAL_FROM_FINAL,R1,TRUE
M1A-F05-SD-V01,PRACTICE,M1A,5,SEDANG,1,I1/I3,C4,PG,harga_awal_diskon,Harga akhir sebuah barang setelah diskon 20% adalah Rp144.000. Harga awal barang tersebut adalah ....,Rp208.800,Rp162.000,Rp180.000,Rp144.000,C,Rp180.000,"Jika diskon 20%, harga akhir adalah 80% dari harga awal.",Gunakan harga awal = Rp144.000 ÷ 80%.,Rp144.000 adalah 80% dari harga awal. Harga awal = Rp144.000 ÷ 0.8 = Rp180.000.,ERR_INITIAL_FROM_FINAL,R1,TRUE
M1A-F05-SD-V02,PRACTICE,M1A,5,SEDANG,2,I1/I3,C4,PG,harga_awal_diskon,Harga akhir sebuah barang setelah diskon 30% adalah Rp210.000. Harga awal barang tersebut adalah ....,Rp270.000,Rp210.000,Rp363.000,Rp300.000,D,Rp300.000,"Jika diskon 30%, harga akhir adalah 70% dari harga awal.",Gunakan harga awal = Rp210.000 ÷ 70%.,Rp210.000 adalah 70% dari harga awal. Harga awal = Rp210.000 ÷ 0.7 = Rp300.000.,ERR_INITIAL_FROM_FINAL,R1,TRUE
M1A-F05-SD-V03,PRACTICE,M1A,5,SEDANG,3,I1/I3,C4,PG,harga_awal_diskon,Harga akhir sebuah barang setelah diskon 15% adalah Rp178.500. Harga awal barang tersebut adalah ....,Rp236.775,Rp178.500,Rp189.000,Rp210.000,D,Rp210.000,"Jika diskon 15%, harga akhir adalah 85% dari harga awal.",Gunakan harga awal = Rp178.500 ÷ 85%.,Rp178.500 adalah 85% dari harga awal. Harga awal = Rp178.500 ÷ 0.85 = Rp210.000.,ERR_INITIAL_FROM_FINAL,R1,TRUE
M1A-F05-SL-V01,PRACTICE,M1A,5,SULIT,1,I1/I3,C4,PG,harga_awal_diskon,Harga akhir sebuah barang setelah diskon 28% adalah Rp252.000. Harga awal barang tersebut adalah ....,Rp350.000,Rp252.000,Rp420.560,Rp315.000,A,Rp350.000,"Jika diskon 28%, harga akhir adalah 72% dari harga awal.",Gunakan harga awal = Rp252.000 ÷ 72%.,Rp252.000 adalah 72% dari harga awal. Harga awal = Rp252.000 ÷ 0.72 = Rp350.000.,ERR_INITIAL_FROM_FINAL,R1,TRUE
M1A-F05-SL-V02,PRACTICE,M1A,5,SULIT,2,I1/I3,C4,PG,harga_awal_diskon,Harga akhir sebuah barang setelah diskon 25% adalah Rp337.500. Harga awal barang tersebut adalah ....,Rp450.000,Rp534.375,Rp337.500,Rp405.000,A,Rp450.000,"Jika diskon 25%, harga akhir adalah 75% dari harga awal.",Gunakan harga awal = Rp337.500 ÷ 75%.,Rp337.500 adalah 75% dari harga awal. Harga awal = Rp337.500 ÷ 0.75 = Rp450.000.,ERR_INITIAL_FROM_FINAL,R1,TRUE
M1A-F05-SL-V03,PRACTICE,M1A,5,SULIT,3,I1/I3,C4,PG,harga_awal_diskon,Harga akhir sebuah barang setelah diskon 40% adalah Rp216.000. Harga awal barang tersebut adalah ....,Rp446.400,Rp324.000,Rp360.000,Rp216.000,C,Rp360.000,"Jika diskon 40%, harga akhir adalah 60% dari harga awal.",Gunakan harga awal = Rp216.000 ÷ 60%.,Rp216.000 adalah 60% dari harga awal. Harga awal = Rp216.000 ÷ 0.6 = Rp360.000.,ERR_INITIAL_FROM_FINAL,R1,TRUE
M1A-F06-MD-V01,PRACTICE,M1A,6,MUDAH,1,I3/I4,C4,PG,perbandingan_diskon,Toko A menjual barang seharga Rp100.000 diskon 10%. Toko B menjual barang yang sama seharga Rp95.000 diskon 0%. Kesimpulan yang tepat adalah ....,Toko A lebih hemat Rp5.000,Toko B lebih hemat Rp5.000,Tidak dapat ditentukan,Keduanya sama,A,Toko A lebih hemat Rp5.000,"Hitung harga akhir masing-masing toko, jangan hanya melihat persen diskon.","Toko A = 90% × Rp100.000, Toko B = 100% × Rp95.000.",Toko A = Rp90.000 dan Toko B = Rp95.000. Maka toko a lebih hemat rp5.000.,ERR_COMPARE_PROMO,M1A/R1,TRUE
M1A-F06-MD-V02,PRACTICE,M1A,6,MUDAH,2,I3/I4,C4,PG,perbandingan_diskon,Toko A menjual barang seharga Rp200.000 diskon 20%. Toko B menjual barang yang sama seharga Rp180.000 diskon 10%. Kesimpulan yang tepat adalah ....,Tidak dapat ditentukan,Keduanya sama,Toko B lebih hemat Rp2.000,Toko A lebih hemat Rp2.000,D,Toko A lebih hemat Rp2.000,"Hitung harga akhir masing-masing toko, jangan hanya melihat persen diskon.","Toko A = 80% × Rp200.000, Toko B = 90% × Rp180.000.",Toko A = Rp160.000 dan Toko B = Rp162.000. Maka toko a lebih hemat rp2.000.,ERR_COMPARE_PROMO,M1A/R1,TRUE
M1A-F06-MD-V03,PRACTICE,M1A,6,MUDAH,3,I3/I4,C4,PG,perbandingan_diskon,Toko A menjual barang seharga Rp80.000 diskon 25%. Toko B menjual barang yang sama seharga Rp70.000 diskon 10%. Kesimpulan yang tepat adalah ....,Tidak dapat ditentukan,Toko B lebih hemat Rp3.000,Toko A lebih hemat Rp3.000,Keduanya sama,C,Toko A lebih hemat Rp3.000,"Hitung harga akhir masing-masing toko, jangan hanya melihat persen diskon.","Toko A = 75% × Rp80.000, Toko B = 90% × Rp70.000.",Toko A = Rp60.000 dan Toko B = Rp63.000. Maka toko a lebih hemat rp3.000.,ERR_COMPARE_PROMO,M1A/R1,TRUE
M1A-F06-SD-V01,PRACTICE,M1A,6,SEDANG,1,I3/I4,C4,PG,perbandingan_diskon,Toko A menjual barang seharga Rp250.000 diskon 18%. Toko B menjual barang yang sama seharga Rp240.000 diskon 15%. Kesimpulan yang tepat adalah ....,Toko A lebih hemat Rp1.000,Toko B lebih hemat Rp1.000,Tidak dapat ditentukan,Keduanya sama,B,Toko B lebih hemat Rp1.000,"Hitung harga akhir masing-masing toko, jangan hanya melihat persen diskon.","Toko A = 82% × Rp250.000, Toko B = 85% × Rp240.000.",Toko A = Rp205.000 dan Toko B = Rp204.000. Maka toko b lebih hemat rp1.000.,ERR_COMPARE_PROMO,M1A/R1,TRUE
M1A-F06-SD-V02,PRACTICE,M1A,6,SEDANG,2,I3/I4,C4,PG,perbandingan_diskon,Toko A menjual barang seharga Rp300.000 diskon 30%. Toko B menjual barang yang sama seharga Rp280.000 diskon 25%. Kesimpulan yang tepat adalah ....,Tidak dapat ditentukan,Keduanya sama,Toko B lebih hemat Rp0,Toko A lebih hemat Rp0,B,Keduanya sama,"Hitung harga akhir masing-masing toko, jangan hanya melihat persen diskon.","Toko A = 70% × Rp300.000, Toko B = 75% × Rp280.000.",Toko A = Rp210.000 dan Toko B = Rp210.000. Maka keduanya sama.,ERR_COMPARE_PROMO,M1A/R1,TRUE
